ID,FriendlyStacks,EnemyStacks,Friendly1Elo,Friendly2Elo,Friendly3Elo,Friendly4Elo,Friendly5Elo,Enemy1Elo,Enemy2Elo,Enemy3Elo,Enemy4Elo,Enemy5Elo,InfernoDiff,MirageDiff,TrainDiff,DustIIDiff,NukeDiff,AncientDiff,OverpassDiff,AnubisDiff
878.0,2111.0,311.0,18474.0,15839.0,19767.0,17749.0,16970.0,18596.0,18292.0,20165.0,14509.0,,-10.0,3.0,-1.0,5.0,5.0,1.0,5.0,
880.0,11111.0,221.0,19026.0,18306.0,17717.0,15909.0,15857.0,15488.0,20000.0,14943.0,18780.0,15610.0,1.0,8.0,-1.0,-4.0,-4.0,0.0,0.0,
881.0,2111.0,2111.0,17951.0,,16925.0,13138.0,17518.0,17713.0,17184.0,16809.0,18369.0,13942.0,1.0,-5.0,-2.0,-6.0,-2.0,4.0,4.0,
882.0,311.0,311.0,21231.0,,21144.0,17668.0,17594.0,18277.0,15842.0,14340.0,20590.0,16594.0,1.0,5.0,1.0,1.0,-4.0,-1.0,-3.0,
883.0,221.0,311.0,17183.0,16464.0,16677.0,16044.0,16197.0,18783.0,13952.0,16526.0,15815.0,15521.0,-2.0,-15.0,1.0,6.0,5.0,1.0,4.0,
884.0,221.0,5.0,17511.0,,16085.0,,,17528.0,15323.0,17615.0,,,1.0,2.0,-4.0,-5.0,-1.0,-2.0,7.0,
885.0,221.0,2111.0,16076.0,17131.0,,18786.0,10577.0,17772.0,14465.0,15662.0,15373.0,14999.0,1.0,-2.0,-6.0,3.0,2.0,-4.0,1.0,
886.0,2111.0,311.0,17719.0,17840.0,17113.0,17042.0,16759.0,17764.0,17109.0,16757.0,,12117.0,1.0,2.0,2.0,2.0,2.0,-1.0,-3.0,
887.0,311.0,5.0,17514.0,17839.0,16576.0,,17125.0,15863.0,,20399.0,22399.0,3475.0,4.0,1.0,-2.0,-1.0,4.0,0.0,0.0,
888.0,2111.0,32.0,18981.0,17290.0,17270.0,16559.0,16605.0,18569.0,15594.0,13028.0,,16227.0,2.0,5.0,-2.0,1.0,-1.0,2.0,-1.0,
889.0,2111.0,2111.0,16866.0,16556.0,16785.0,15488.0,15752.0,16891.0,16232.0,15165.0,,15646.0,0.0,-2.0,1.0,-4.0,0.0,2.0,3.0,
890.0,2111.0,32.0,18528.0,17161.0,17101.0,16939.0,16499.0,19444.0,15136.0,21108.0,12868.0,16422.0,1.0,-2.0,-1.0,-8.0,11.0,3.0,-4.0,
891.0,2111.0,221.0,16497.0,16104.0,16120.0,15538.0,15305.0,,18709.0,15525.0,15676.0,,0.0,4.0,1.0,2.0,1.0,1.0,2.0,
892.0,2111.0,5.0,16456.0,15517.0,17018.0,16104.0,15123.0,20815.0,10000.0,16530.0,16903.0,10891.0,-8.0,6.0,2.0,-10.0,6.0,1.0,3.0,
893.0,2111.0,5.0,16989.0,16662.0,16769.0,16400.0,16400.0,17989.0,19879.0,15044.0,16507.0,13873.0,-5.0,17.0,1.0,-3.0,4.0,-7.0,-7.0,
894.0,5.0,2111.0,23959.0,14999.0,22695.0,16750.0,23331.0,22263.0,,21617.0,23149.0,,3.0,7.0,0.0,-1.0,0.0,-4.0,4.0,
895.0,5.0,221.0,23836.0,22595.0,16454.0,22994.0,,21505.0,23400.0,19999.0,24783.0,22248.0,-3.0,3.0,2.0,-5.0,-4.0,-3.0,8.0,
896.0,41.0,11111.0,22471.0,23520.0,,16147.0,19882.0,21183.0,20960.0,19452.0,20005.0,19999.0,-4.0,1.0,0.0,-3.0,-2.0,-4.0,10.0,
897.0,11111.0,5.0,16919.0,16553.0,16492.0,15766.0,15114.0,19459.0,15333.0,15959.0,12660.0,10844.0,-1.0,-4.0,-3.0,-2.0,10.0,3.0,-3.0,
898.0,311.0,2111.0,16032.0,15897.0,17082.0,14689.0,12581.0,15519.0,15966.0,15246.0,,18101.0,-4.0,0.0,3.0,5.0,-3.0,0.0,2.0,
899.0,2111.0,5.0,16374.0,15726.0,15598.0,12475.0,17262.0,8439.0,12872.0,22269.0,8772.0,8030.0,-7.0,-1.0,6.0,3.0,7.0,-2.0,-6.0,
900.0,5.0,311.0,23189.0,16585.0,,25466.0,19226.0,,23398.0,19855.0,,20469.0,-9.0,2.0,-3.0,6.0,-7.0,10.0,1.0,
901.0,2111.0,221.0,,,14523.0,17252.0,16926.0,17810.0,16622.0,18991.0,14999.0,16383.0,-1.0,-10.0,-1.0,6.0,6.0,-4.0,-6.0,
902.0,311.0,2111.0,16142.0,17234.0,16346.0,12612.0,,17736.0,17198.0,16300.0,,,6.0,5.0,0.0,2.0,-5.0,-9.0,4.0,
903.0,41.0,5.0,23333.0,,15982.0,17586.0,19112.0,20576.0,23374.0,18351.0,11748.0,,-3.0,4.0,-1.0,8.0,-2.0,-4.0,4.0,
904.0,2111.0,2111.0,,,13781.0,,,,,9999.0,9552.0,,3.0,-1.0,1.0,14.0,-1.0,1.0,-5.0,
905.0,41.0,2111.0,17921.0,16416.0,14999.0,14452.0,16725.0,16979.0,16561.0,,16742.0,15318.0,0.0,5.0,0.0,4.0,-5.0,7.0,-3.0,
906.0,41.0,221.0,20101.0,23595.0,,18294.0,16676.0,18198.0,22408.0,20414.0,15462.0,23397.0,-4.0,6.0,-1.0,-3.0,-4.0,6.0,-2.0,
908.0,41.0,5.0,20110.0,23939.0,16880.0,,18401.0,24215.0,10543.0,19639.0,,22159.0,-6.0,2.0,5.0,1.0,3.0,-8.0,4.0,
